osmid,y,x,highway,street_count,ref,geometry
378841,48.2353741,16.3589731,,3,,POINT (16.3589731 48.2353741)
378914,48.2351374,16.3675653,,4,,POINT (16.3675653 48.2351374)
378932,48.2340117,16.3715203,,4,,POINT (16.3715203 48.2340117)
378950,48.2335616,16.365908,traffic_signals,4,,POINT (16.365908 48.2335616)
378952,48.2351092,16.3702451,crossing,4,,POINT (16.3702451 48.2351092)
378953,48.2410057,16.371785,,3,,POINT (16.371785 48.2410057)
378954,48.2315686,16.3706255,,4,,POINT (16.3706255 48.2315686)
378956,48.2317324,16.3720339,,3,,POINT (16.3720339 48.2317324)
378957,48.2332771,16.3747492,,4,,POINT (16.3747492 48.2332771)
378958,48.2338661,16.3764681,,4,,POINT (16.3764681 48.2338661)
378960,48.2351265,16.3756962,,3,,POINT (16.3756962 48.2351265)
378965,48.2389589,16.388938,traffic_signals,3,,POINT (16.388938 48.2389589)
378967,48.2420154,16.3743759,,3,,POINT (16.3743759 48.2420154)
378968,48.2422651,16.3743505,,4,,POINT (16.3743505 48.2422651)
378973,48.23435,16.3941518,traffic_signals,4,,POINT (16.3941518 48.23435)
378982,48.2055622,16.4312449,traffic_signals,4,,POINT (16.4312449 48.2055622)
378985,48.202609,16.4302663,,3,,POINT (16.4302663 48.202609)
378987,48.1935012,16.4170619,,3,,POINT (16.4170619 48.1935012)
379014,48.1906918,16.4131768,motorway_junction,4,,POINT (16.4131768 48.1906918)
379092,48.2481803,16.3937019,motorway_junction,3,,POINT (16.3937019 48.2481803)
379247,48.1883148,16.4236455,,3,,POINT (16.4236455 48.1883148)
380093,48.2331045,16.3732779,,4,,POINT (16.3732779 48.2331045)
380094,48.2329165,16.3717933,,4,,POINT (16.3717933 48.2329165)
381169,48.168478,16.3031991,,4,,POINT (16.3031991 48.168478)
381170,48.1679221,16.3048556,,3,,POINT (16.3048556 48.1679221)
381173,48.1673816,16.3076971,,4,,POINT (16.3076971 48.1673816)
381176,48.1635523,16.3052881,,4,,POINT (16.3052881 48.1635523)
381178,48.1624136,16.3086195,,3,,POINT (16.3086195 48.1624136)
381179,48.1616127,16.3072322,,3,,POINT (16.3072322 48.1616127)
381189,48.1712727,16.3044973,,3,,POINT (16.3044973 48.1712727)
381192,48.1741471,16.2995021,,3,,POINT (16.2995021 48.1741471)
381199,48.1829678,16.2975834,,3,,POINT (16.2975834 48.1829678)
381200,48.1761556,16.2978527,,3,,POINT (16.2978527 48.1761556)
381202,48.1842006,16.3003235,,3,,POINT (16.3003235 48.1842006)
381207,48.1846817,16.298108,,3,,POINT (16.298108 48.1846817)
381224,48.1594824,16.3085225,,4,,POINT (16.3085225 48.1594824)
381225,48.1602486,16.309546,,4,,POINT (16.309546 48.1602486)
381226,48.1644968,16.315209,traffic_signals,6,,POINT (16.315209 48.1644968)
381231,48.1659923,16.3132226,,3,,POINT (16.3132226 48.1659923)
381334,48.174735,16.3139131,crossing,4,,POINT (16.3139131 48.174735)
381335,48.1747415,16.314079,crossing,4,,POINT (16.314079 48.1747415)
381339,48.1672877,16.3160197,,3,,POINT (16.3160197 48.1672877)
381374,48.158708,16.3188093,crossing,4,,POINT (16.3188093 48.158708)
381511,48.1574286,16.3229346,,3,,POINT (16.3229346 48.1574286)
381788,48.2432942,16.3215079,traffic_signals,3,,POINT (16.3215079 48.2432942)
381794,48.2385627,16.3258941,,4,,POINT (16.3258941 48.2385627)
392147,48.2242824,16.319067,,3,,POINT (16.319067 48.2242824)
392224,48.2221545,16.3333166,,4,,POINT (16.3333166 48.2221545)
392229,48.1588095,16.3115558,,3,,POINT (16.3115558 48.1588095)
392251,48.226886,16.3436724,,4,,POINT (16.3436724 48.226886)
392283,48.1925995,16.3258559,,3,,POINT (16.3258559 48.1925995)
392301,48.2222852,16.3416439,traffic_signals,4,,POINT (16.3416439 48.2222852)
392318,48.234783,16.3278003,,3,,POINT (16.3278003 48.234783)
392327,48.1901317,16.3201312,crossing,4,,POINT (16.3201312 48.1901317)
392351,48.2180617,16.364822,traffic_signals,4,,POINT (16.364822 48.2180617)
392352,48.1936782,16.3295768,,4,,POINT (16.3295768 48.1936782)
392442,48.224684,16.3479451,,4,,POINT (16.3479451 48.224684)
392479,48.2035365,16.3643365,,3,,POINT (16.3643365 48.2035365)
392482,48.2240851,16.3228752,traffic_signals,5,,POINT (16.3228752 48.2240851)
392570,48.2091423,16.3088108,,4,,POINT (16.3088108 48.2091423)
392593,48.1661452,16.3873993,motorway_junction,3,,POINT (16.3873993 48.1661452)
392615,48.2409491,16.3319875,,3,,POINT (16.3319875 48.2409491)
392633,48.2041024,16.3540923,,3,,POINT (16.3540923 48.2041024)
392653,48.1940912,16.2983097,,4,,POINT (16.2983097 48.1940912)
392671,48.1893389,16.3377163,,5,,POINT (16.3377163 48.1893389)
392742,48.2153001,16.3724895,,4,,POINT (16.3724895 48.2153001)
392790,48.2165371,16.3661993,traffic_signals,4,,POINT (16.3661993 48.2165371)
392847,48.2260095,16.3500044,,4,,POINT (16.3500044 48.2260095)
392873,48.193413,16.3103698,,4,,POINT (16.3103698 48.193413)
392878,48.1968936,16.3078595,,4,,POINT (16.3078595 48.1968936)
392889,48.2243355,16.3176573,,5,,POINT (16.3176573 48.2243355)
392919,48.1960868,16.3204664,,4,,POINT (16.3204664 48.1960868)
393097,48.228131,16.3365477,crossing,4,,POINT (16.3365477 48.228131)
393143,48.207528,16.3087986,,4,,POINT (16.3087986 48.207528)
393155,48.1910539,16.3757925,,3,,POINT (16.3757925 48.1910539)
393161,48.1946568,16.3359958,,4,,POINT (16.3359958 48.1946568)
393205,48.1924015,16.3163207,traffic_signals,5,,POINT (16.3163207 48.1924015)
393287,48.1932807,16.3114172,traffic_signals,3,,POINT (16.3114172 48.1932807)
393303,48.190317,16.3152284,traffic_signals,4,,POINT (16.3152284 48.190317)
393334,48.2039361,16.3637175,,3,,POINT (16.3637175 48.2039361)
393373,48.2262225,16.3482783,traffic_signals,4,,POINT (16.3482783 48.2262225)
393375,48.2283981,16.3346608,,3,,POINT (16.3346608 48.2283981)
393417,48.2119945,16.3073055,,4,,POINT (16.3073055 48.2119945)
393463,48.1896983,16.3063707,,3,,POINT (16.3063707 48.1896983)
393530,48.2144799,16.3068627,traffic_signals,7,,POINT (16.3068627 48.2144799)
393568,48.2082498,16.3060107,,3,,POINT (16.3060107 48.2082498)
393659,48.2370873,16.3334009,,3,,POINT (16.3334009 48.2370873)
393661,48.1907315,16.3204764,traffic_signals,4,,POINT (16.3204764 48.1907315)
393772,48.213276,16.3077531,,3,,POINT (16.3077531 48.213276)
393783,48.1973271,16.3718056,traffic_signals,4,,POINT (16.3718056 48.1973271)
393784,48.2234886,16.3155402,,7,,POINT (16.3155402 48.2234886)
393847,48.2405509,16.3421099,,3,,POINT (16.3421099 48.2405509)
393862,48.2345891,16.3286107,crossing,3,,POINT (16.3286107 48.2345891)
393912,48.2138047,16.3725889,,4,,POINT (16.3725889 48.2138047)
393922,48.2189738,16.3651854,,4,,POINT (16.3651854 48.2189738)
393924,48.2229689,16.3340208,,4,,POINT (16.3340208 48.2229689)
393947,48.1936074,16.3020676,,4,,POINT (16.3020676 48.1936074)
394058,48.2395705,16.3434903,,5,,POINT (16.3434903 48.2395705)
394065,48.1575652,16.3098877,,4,,POINT (16.3098877 48.1575652)
394078,48.2182978,16.3656171,,4,,POINT (16.3656171 48.2182978)
394110,48.2345464,16.3274548,,3,,POINT (16.3274548 48.2345464)
394145,48.1967762,16.305864,,4,,POINT (16.305864 48.1967762)
394164,48.1961541,16.3194634,,4,,POINT (16.3194634 48.1961541)
394171,48.2280425,16.338237,,3,,POINT (16.338237 48.2280425)
394283,48.2045729,16.3569185,,3,,POINT (16.3569185 48.2045729)
394337,48.2026047,16.361474,traffic_signals,4,,POINT (16.361474 48.2026047)
394359,48.1991031,16.3752947,,4,,POINT (16.3752947 48.1991031)
394427,48.1936116,16.3081953,,5,,POINT (16.3081953 48.1936116)
394514,48.1926144,16.2994849,traffic_signals,5,,POINT (16.2994849 48.1926144)
394570,48.1914708,16.3288069,,4,,POINT (16.3288069 48.1914708)
394638,48.2446983,16.3797864,traffic_signals,3,,POINT (16.3797864 48.2446983)
394640,48.196782,16.3098405,,4,,POINT (16.3098405 48.196782)
394751,48.2253177,16.3480705,,4,,POINT (16.3480705 48.2253177)
394761,48.1911284,16.337162,,3,,POINT (16.337162 48.1911284)
394793,48.2409324,16.3488476,,3,,POINT (16.3488476 48.2409324)
394803,48.2238422,16.3157593,,3,,POINT (16.3157593 48.2238422)
394807,48.1898317,16.305652,,3,,POINT (16.305652 48.1898317)
394867,48.2370753,16.3387871,,5,,POINT (16.3387871 48.2370753)
394868,48.2129351,16.3741419,,4,,POINT (16.3741419 48.2129351)
394869,48.1919015,16.3322839,,3,,POINT (16.3322839 48.1919015)
394889,48.2450608,16.366196,traffic_signals,5,,POINT (16.366196 48.2450608)
394906,48.201625,16.3742399,,5,,POINT (16.3742399 48.201625)
394907,48.2252331,16.3181612,,3,,POINT (16.3181612 48.2252331)
394929,48.2118259,16.3084397,,4,,POINT (16.3084397 48.2118259)
394936,48.2249586,16.31941,,3,,POINT (16.31941 48.2249586)
394989,48.226846,16.335796,,4,,POINT (16.335796 48.226846)
394992,48.1904707,16.3761485,,4,,POINT (16.3761485 48.1904707)
395058,48.2457356,16.3805875,,3,,POINT (16.3805875 48.2457356)
395073,48.2371725,16.3651778,,4,,POINT (16.3651778 48.2371725)
395127,48.1846466,16.3337179,traffic_signals,4,,POINT (16.3337179 48.1846466)
395134,48.2407585,16.3341413,traffic_signals,4,,POINT (16.3341413 48.2407585)
395143,48.1883617,16.3384295,,3,,POINT (16.3384295 48.1883617)
395151,48.1895618,16.3089639,,3,,POINT (16.3089639 48.1895618)
395153,48.1970781,16.3289893,,4,,POINT (16.3289893 48.1970781)
395161,48.1899542,16.3201659,,3,,POINT (16.3201659 48.1899542)
395254,48.2406734,16.3461466,,3,,POINT (16.3461466 48.2406734)
395262,48.1905816,16.337218,,3,,POINT (16.337218 48.1905816)
395270,48.2042371,16.3523593,,4,,POINT (16.3523593 48.2042371)
395420,48.2065284,16.3602861,traffic_signals,3,,POINT (16.3602861 48.2065284)
395433,48.2290065,16.3285794,,3,,POINT (16.3285794 48.2290065)
395457,48.2078764,16.3084625,,3,,POINT (16.3084625 48.2078764)
395459,48.2053863,16.298785,,3,,POINT (16.298785 48.2053863)
395521,48.2238639,16.3144592,,4,,POINT (16.3144592 48.2238639)
395534,48.1909349,16.3753228,,3,,POINT (16.3753228 48.1909349)
395632,48.2171758,16.3654881,,3,,POINT (16.3654881 48.2171758)
395666,48.2450623,16.3628365,,4,,POINT (16.3628365 48.2450623)
395711,48.2105407,16.3080036,,4,,POINT (16.3080036 48.2105407)
395730,48.2404631,16.3411737,traffic_signals,4,,POINT (16.3411737 48.2404631)
395731,48.2209731,16.3118533,,3,,POINT (16.3118533 48.2209731)
395757,48.2143988,16.373473,,3,,POINT (16.373473 48.2143988)
395758,48.1965761,16.3129608,,3,,POINT (16.3129608 48.1965761)
395780,48.1884586,16.3141952,,3,,POINT (16.3141952 48.1884586)
395853,48.2345009,16.328588,,3,,POINT (16.328588 48.2345009)
395867,48.1935792,16.3014039,,3,,POINT (16.3014039 48.1935792)
395878,48.2405744,16.343876,,3,,POINT (16.343876 48.2405744)
395907,48.1904114,16.3229827,,5,,POINT (16.3229827 48.1904114)
395914,48.2191384,16.3659837,,4,,POINT (16.3659837 48.2191384)
395916,48.1947664,16.330448,,3,,POINT (16.330448 48.1947664)
395947,48.1773126,16.4001102,motorway_junction,3,,POINT (16.4001102 48.1773126)
397954,48.1919953,16.3018567,traffic_signals,3,,POINT (16.3018567 48.1919953)
397963,48.1896645,16.3016408,traffic_signals,4,,POINT (16.3016408 48.1896645)
398002,48.18399,16.3277325,,3,,POINT (16.3277325 48.18399)
398012,48.1962204,16.3184315,traffic_signals,4,,POINT (16.3184315 48.1962204)
398017,48.1993622,16.3275496,traffic_signals,4,,POINT (16.3275496 48.1993622)
400877,48.206788,16.304292,,3,,POINT (16.304292 48.206788)
400879,48.2062947,16.3074614,,3,,POINT (16.3074614 48.2062947)
401838,48.2251301,16.3420541,traffic_signals,4,,POINT (16.3420541 48.2251301)
401844,48.2416826,16.3727419,,3,,POINT (16.3727419 48.2416826)
479644,48.2042896,16.3472632,,3,,POINT (16.3472632 48.2042896)
654939,48.1903345,16.3363267,,4,,POINT (16.3363267 48.1903345)
654940,48.1899486,16.3349571,,4,,POINT (16.3349571 48.1899486)
654959,48.1891076,16.335522,,3,,POINT (16.335522 48.1891076)
654965,48.189853,16.3366623,,3,,POINT (16.3366623 48.189853)
654971,48.1882519,16.3340882,,3,,POINT (16.3340882 48.1882519)
654972,48.1880794,16.3333547,traffic_signals,3,,POINT (16.3333547 48.1880794)
654985,48.187204,16.3337637,,3,,POINT (16.3337637 48.187204)
654990,48.1863033,16.3343179,,3,,POINT (16.3343179 48.1863033)
654995,48.1855055,16.3350619,traffic_signals,4,,POINT (16.3350619 48.1855055)
655012,48.2223384,16.3449313,,3,,POINT (16.3449313 48.2223384)
655015,48.223823,16.34876,,3,,POINT (16.34876 48.223823)
655018,48.2246067,16.3489507,,4,,POINT (16.3489507 48.2246067)
655032,48.2260964,16.3492475,,4,,POINT (16.3492475 48.2260964)
655037,48.2283176,16.3497364,,4,,POINT (16.3497364 48.2283176)
655052,48.2321588,16.3537709,,4,,POINT (16.3537709 48.2321588)
655055,48.2349064,16.3549986,,4,,POINT (16.3549986 48.2349064)
655060,48.2362666,16.3593103,,3,,POINT (16.3593103 48.2362666)
655061,48.2406059,16.3871918,traffic_signals,3,,POINT (16.3871918 48.2406059)
670005,48.2085625,16.3549718,traffic_signals,5,,POINT (16.3549718 48.2085625)
670006,48.2082747,16.3525266,,4,,POINT (16.3525266 48.2082747)
670007,48.2081217,16.3509004,,4,,POINT (16.3509004 48.2081217)
670008,48.207938,16.3490403,,4,,POINT (16.3490403 48.207938)
670011,48.2096336,16.3392716,,4,,POINT (16.3392716 48.2096336)
671910,48.1975112,16.3254304,,3,,POINT (16.3254304 48.1975112)
672175,48.2110701,16.3045176,,4,,POINT (16.3045176 48.2110701)
672176,48.2130164,16.3049753,,3,,POINT (16.3049753 48.2130164)
672177,48.2136772,16.3050964,,4,,POINT (16.3050964 48.2136772)
672180,48.2111306,16.3034506,,4,,POINT (16.3034506 48.2111306)
672185,48.2127484,16.3010155,,3,,POINT (16.3010155 48.2127484)
672186,48.2086111,16.3036422,,3,,POINT (16.3036422 48.2086111)
672187,48.2091015,16.3038295,,3,,POINT (16.3038295 48.2091015)
672188,48.2127358,16.3009723,,3,,POINT (16.3009723 48.2127358)
672190,48.2109825,16.2995612,,3,,POINT (16.2995612 48.2109825)
672194,48.2091256,16.3010392,,3,,POINT (16.3010392 48.2091256)
672200,48.2091252,16.3017931,,3,,POINT (16.3017931 48.2091252)
672203,48.2108312,16.3034568,,4,,POINT (16.3034568 48.2108312)
683872,48.2250835,16.4038895,,3,,POINT (16.4038895 48.2250835)
683873,48.2316778,16.4161382,,4,,POINT (16.4161382 48.2316778)
683876,48.2288641,16.4217414,,4,,POINT (16.4217414 48.2288641)
683878,48.234233,16.4208693,traffic_signals,3,,POINT (16.4208693 48.234233)
683881,48.2343625,16.4207177,traffic_signals,4,,POINT (16.4207177 48.2343625)
683891,48.224122,16.4018097,traffic_signals,4,,POINT (16.4018097 48.224122)
683897,48.2324665,16.4133447,,3,,POINT (16.4133447 48.2324665)
683901,48.2346999,16.4125207,,3,,POINT (16.4125207 48.2346999)
683904,48.2357254,16.4113207,traffic_signals,3,,POINT (16.4113207 48.2357254)
683906,48.2253886,16.4244955,,4,,POINT (16.4244955 48.2253886)
683907,48.2260366,16.425554,,4,,POINT (16.425554 48.2260366)
683909,48.2367923,16.4251893,traffic_signals,4,,POINT (16.4251893 48.2367923)
683910,48.2366532,16.4253522,traffic_signals,4,,POINT (16.4253522 48.2366532)
683911,48.2392336,16.4301568,,4,,POINT (16.4301568 48.2392336)
683953,48.2423949,16.4355047,,3,,POINT (16.4355047 48.2423949)
684004,48.2466824,16.4045281,,4,,POINT (16.4045281 48.2466824)
684006,48.2472033,16.4027796,,3,,POINT (16.4027796 48.2472033)
684007,48.2474458,16.400751,,3,,POINT (16.400751 48.2474458)
684994,48.2175578,16.3897462,,3,,POINT (16.3897462 48.2175578)
684995,48.217794,16.3904464,crossing,4,,POINT (16.3904464 48.217794)
684998,48.2194363,16.3925489,,3,,POINT (16.3925489 48.2194363)
685001,48.2187965,16.3934645,,3,,POINT (16.3934645 48.2187965)
685005,48.2170821,16.3930771,,3,,POINT (16.3930771 48.2170821)
685006,48.2169272,16.3921183,,3,,POINT (16.3921183 48.2169272)
685044,48.2122762,16.3765745,traffic_signals,4,,POINT (16.3765745 48.2122762)
685047,48.2113874,16.3825067,,3,,POINT (16.3825067 48.2113874)
685048,48.2113654,16.3828674,traffic_signals,4,,POINT (16.3828674 48.2113654)
685050,48.2124403,16.3831485,traffic_signals,4,,POINT (16.3831485 48.2124403)
685051,48.2136562,16.3828704,traffic_signals,4,,POINT (16.3828704 48.2136562)
685054,48.2119627,16.386487,,3,,POINT (16.386487 48.2119627)
685056,48.2129585,16.3890101,,3,,POINT (16.3890101 48.2129585)
685059,48.2136285,16.3914109,,4,,POINT (16.3914109 48.2136285)
685093,48.2145245,16.3637263,,4,,POINT (16.3637263 48.2145245)
685099,48.2038924,16.3771335,,3,,POINT (16.3771335 48.2038924)
685101,48.2023844,16.378612,traffic_signals,3,,POINT (16.378612 48.2023844)
685102,48.2017984,16.3799428,,4,,POINT (16.3799428 48.2017984)
685115,48.2027215,16.3679862,,4,,POINT (16.3679862 48.2027215)
685116,48.1970484,16.3609046,,3,,POINT (16.3609046 48.1970484)
685119,48.1938682,16.3591448,,4,,POINT (16.3591448 48.1938682)
685121,48.1974213,16.3619301,traffic_signals,3,,POINT (16.3619301 48.1974213)
685122,48.1984691,16.3638149,traffic_signals,4,,POINT (16.3638149 48.1984691)
685124,48.199809,16.3662833,,3,,POINT (16.3662833 48.199809)
685125,48.2006099,16.3677927,,3,,POINT (16.3677927 48.2006099)
685130,48.2003643,16.3765591,traffic_signals,4,,POINT (16.3765591 48.2003643)
685131,48.1942116,16.353952,,3,,POINT (16.353952 48.1942116)
685132,48.1950741,16.3540502,,3,,POINT (16.3540502 48.1950741)
685134,48.1966227,16.3562098,,3,,POINT (16.3562098 48.1966227)
685135,48.1970035,16.3576245,,4,,POINT (16.3576245 48.1970035)
685136,48.1972694,16.3590637,traffic_signals,4,,POINT (16.3590637 48.1972694)
685137,48.1976434,16.3608757,,3,,POINT (16.3608757 48.1976434)
685138,48.1984306,16.3626361,,3,,POINT (16.3626361 48.1984306)
685139,48.1994645,16.364622,traffic_signals,3,,POINT (16.364622 48.1994645)
685148,48.1999611,16.3749732,traffic_signals,4,,POINT (16.3749732 48.1999611)
685150,48.2152452,16.3612652,,3,,POINT (16.3612652 48.2152452)
685151,48.2165645,16.3641435,,3,,POINT (16.3641435 48.2165645)
685152,48.2151288,16.3631112,,4,,POINT (16.3631112 48.2151288)
685158,48.2152903,16.345685,,4,,POINT (16.345685 48.2152903)
685159,48.2171175,16.337242,traffic_signals,4,,POINT (16.337242 48.2171175)
685160,48.2169634,16.3389994,traffic_signals,4,,POINT (16.3389994 48.2169634)
685161,48.2160075,16.3434676,,3,,POINT (16.3434676 48.2160075)
685163,48.2164979,16.3412394,,4,,POINT (16.3412394 48.2164979)
685164,48.2163426,16.34195,,4,,POINT (16.34195 48.2163426)
685166,48.2181904,16.3307416,traffic_signals,5,,POINT (16.3307416 48.2181904)
685167,48.2180313,16.3323462,,4,,POINT (16.3323462 48.2180313)
685169,48.2159307,16.3267495,,4,,POINT (16.3267495 48.2159307)
685170,48.2160941,16.3225585,,3,,POINT (16.3225585 48.2160941)
685172,48.2162074,16.3195056,traffic_signals,4,,POINT (16.3195056 48.2162074)
685173,48.2167432,16.3146373,,4,,POINT (16.3146373 48.2167432)
685179,48.2175611,16.3092174,,4,,POINT (16.3092174 48.2175611)
685183,48.218796,16.2988653,,3,,POINT (16.2988653 48.218796)
685235,48.2083052,16.3142527,,4,,POINT (16.3142527 48.2083052)
685236,48.2081247,16.3155558,,4,,POINT (16.3155558 48.2081247)
685237,48.2078048,16.3176563,,4,,POINT (16.3176563 48.2078048)
685238,48.2057845,16.3170304,,3,,POINT (16.3170304 48.2057845)
685244,48.2065338,16.317234,traffic_signals,5,,POINT (16.317234 48.2065338)
685263,48.1832154,16.3286703,traffic_signals,4,,POINT (16.3286703 48.1832154)
685264,48.1835227,16.3316713,,4,,POINT (16.3316713 48.1835227)
685265,48.1838652,16.3332591,,3,,POINT (16.3332591 48.1838652)
685267,48.1847577,16.3357917,traffic_signals,4,,POINT (16.3357917 48.1847577)
685268,48.1856216,16.3375176,crossing,4,,POINT (16.3375176 48.1856216)
685269,48.1868383,16.3416521,,3,,POINT (16.3416521 48.1868383)
685270,48.1871436,16.342665,,4,,POINT (16.342665 48.1871436)
685273,48.1888219,16.3431637,,3,,POINT (16.3431637 48.1888219)
685274,48.1889208,16.3446998,,4,,POINT (16.3446998 48.1889208)
685275,48.1895181,16.3486529,traffic_signals,4,,POINT (16.3486529 48.1895181)
685276,48.1878668,16.3453733,,3,,POINT (16.3453733 48.1878668)
685277,48.1884483,16.3468219,,3,,POINT (16.3468219 48.1884483)
